config,reasoning,spec_nmax,eval_tok_s,status
roff_mtpoff,off,off,,completion_err:[WinError 10054] 远程主机强迫关闭了一个现有的连接。
roff_mtp2,off,2,,completion_err:[WinError 10054] 远程主机强迫关闭了一个现有的连接。
roff_mtp3,off,3,94.48537580450974,ok
roff_mtp4,off,4,107.57034722531533,ok
roff_mtp6,off,6,96.87991790940706,ok
roff_mtp8,off,8,65.84379921807916,ok
ron_mtpoff,on,off,83.0972284639818,ok
ron_mtp2,on,2,102.53756439639419,ok
ron_mtp3,on,3,108.65692192342277,ok
ron_mtp4,on,4,106.78417375119872,ok
ron_mtp6,on,6,97.9123818047432,ok
ron_mtp8,on,8,66.19281916509652,ok
