config,task,tok_s,reasoning,nmax,batch,flash,ctx
ron_mtpoff,code,34.03928505800374,on,,2048,enabled,81920
ron_mtpoff,factual,34.35392340374959,on,,2048,enabled,81920
ron_mtpoff,json,34.04367251303575,on,,2048,enabled,81920
ron_mtpoff,reasoning,34.11994942895038,on,,2048,enabled,81920
ron_mtpn2,code,58.94193131872038,on,2,2048,enabled,81920
ron_mtpn2,factual,49.03730059821089,on,2,2048,enabled,81920
ron_mtpn2,json,57.415484574915155,on,2,2048,enabled,81920
ron_mtpn2,reasoning,59.13910362015799,on,2,2048,enabled,81920
ron_mtpn3,code,63.23802527161936,on,3,2048,enabled,81920
ron_mtpn3,factual,44.28710331622627,on,3,2048,enabled,81920
ron_mtpn3,json,60.766810687172935,on,3,2048,enabled,81920
ron_mtpn3,reasoning,62.22312669433835,on,3,2048,enabled,81920
ron_mtpn4,code,65.97753645291105,on,4,2048,enabled,81920
ron_mtpn4,factual,43.19600635409362,on,4,2048,enabled,81920
ron_mtpn4,json,64.31577033366004,on,4,2048,enabled,81920
ron_mtpn4,reasoning,68.84036315152113,on,4,2048,enabled,81920
ron_mtpn5,code,66.50529174942754,on,5,2048,enabled,81920
ron_mtpn5,factual,39.78573054307522,on,5,2048,enabled,81920
ron_mtpn5,json,63.87565007821025,on,5,2048,enabled,81920
ron_mtpn5,reasoning,65.71442177358563,on,5,2048,enabled,81920
ron_mtpn6,code,62.91863318117347,on,6,2048,enabled,81920
ron_mtpn6,factual,34.09179907952142,on,6,2048,enabled,81920
ron_mtpn6,json,61.40211857696512,on,6,2048,enabled,81920
ron_mtpn6,reasoning,62.801369663925676,on,6,2048,enabled,81920
ron_mtpn8,code,49.74778504545631,on,8,2048,enabled,81920
ron_mtpn8,factual,25.20695821049672,on,8,2048,enabled,81920
ron_mtpn8,json,49.51714736743101,on,8,2048,enabled,81920
ron_mtpn8,reasoning,50.92603212088865,on,8,2048,enabled,81920
roff_mtpoff,code,33.91973623165113,off,,2048,enabled,81920
roff_mtpoff,factual,34.20699856700411,off,,2048,enabled,81920
roff_mtpoff,json,33.927021981761506,off,,2048,enabled,81920
roff_mtpoff,reasoning,33.99655810604145,off,,2048,enabled,81920
roff_mtpn2,code,59.08729062383946,off,2,2048,enabled,81920
roff_mtpn2,factual,48.86774319516677,off,2,2048,enabled,81920
roff_mtpn2,json,57.823751173556744,off,2,2048,enabled,81920
roff_mtpn2,reasoning,59.46207508850854,off,2,2048,enabled,81920
roff_mtpn3,code,63.85032287125424,off,3,2048,enabled,81920
roff_mtpn3,factual,44.61074114115079,off,3,2048,enabled,81920
roff_mtpn3,json,60.926226193850596,off,3,2048,enabled,81920
roff_mtpn3,reasoning,62.35604399842465,off,3,2048,enabled,81920
roff_mtpn4,code,66.10750306602597,off,4,2048,enabled,81920
roff_mtpn4,factual,42.816591081882684,off,4,2048,enabled,81920
roff_mtpn4,json,64.54113709634214,off,4,2048,enabled,81920
roff_mtpn4,reasoning,69.15013779800263,off,4,2048,enabled,81920
roff_mtpn5,code,66.58696605657876,off,5,2048,enabled,81920
roff_mtpn5,factual,39.4320785998557,off,5,2048,enabled,81920
roff_mtpn5,json,63.596480332291605,off,5,2048,enabled,81920
roff_mtpn5,reasoning,65.73363399068448,off,5,2048,enabled,81920
roff_mtpn6,code,62.896612587454854,off,6,2048,enabled,81920
roff_mtpn6,factual,34.288584465294235,off,6,2048,enabled,81920
roff_mtpn6,json,61.38303776861148,off,6,2048,enabled,81920
roff_mtpn6,reasoning,62.695526377660066,off,6,2048,enabled,81920
roff_mtpn8,code,49.78428914792925,off,8,2048,enabled,81920
roff_mtpn8,factual,25.2393302436755,off,8,2048,enabled,81920
roff_mtpn8,json,49.535939194634636,off,8,2048,enabled,81920
roff_mtpn8,reasoning,50.88840898886014,off,8,2048,enabled,81920
ron_mtp10,code,49.06889378108316,on,10,2048,enabled,81920
ron_mtp10,factual,23.611987401834757,on,10,2048,enabled,81920
ron_mtp10,json,47.54842149688282,on,10,2048,enabled,81920
ron_mtp10,reasoning,50.346093430841734,on,10,2048,enabled,81920
ron_mtp4_c98304,code,66.09256922664142,on,4,2048,enabled,98304
ron_mtp4_c98304,factual,43.024306407482044,on,4,2048,enabled,98304
ron_mtp4_c98304,json,64.54314671539674,on,4,2048,enabled,98304
ron_mtp4_c98304,reasoning,69.09595759469035,on,4,2048,enabled,98304
ron_mtp4_c32768,code,66.2434160901635,on,4,2048,enabled,32768
ron_mtp4_c32768,factual,43.22904618030485,on,4,2048,enabled,32768
ron_mtp4_c32768,json,64.60483857433778,on,4,2048,enabled,32768
ron_mtp4_c32768,reasoning,69.29286629941447,on,4,2048,enabled,32768
rnative,code,58.856930584630376,off,2,2048,enabled,81920
rnative,factual,48.8148330246858,off,2,2048,enabled,81920
rnative,json,57.38071172031296,off,2,2048,enabled,81920
rnative,reasoning,59.19323696873323,off,2,2048,enabled,81920
