Timestamp,Config_Label,Config_Desc,Task_ID,Task_Category,Prompt_Tokens,Completion_Tokens,Prompt_Speed_TokS,Gen_Speed_TokS,Elapsed_Sec,Draft_N,Draft_Accepted,Draft_Accept_Rate,Success
2026-08-28 23:15:51,DFlash2_n3,"DFlash2 紧凑轻量 (n-max=3, 扩散计算耗时最短)",gsm8k_math,数学推理 (GSM8K/Chain-of-Thought),227,512,102.1,42.13,12.96,447,,N/A,True
2026-08-28 23:16:07,DFlash2_n3,"DFlash2 紧凑轻量 (n-max=3, 扩散计算耗时最短)",python_code,代码编写 (High Regularity),205,512,102.85,36.17,14.97,544,,N/A,True
2026-08-28 23:16:21,DFlash2_n3,"DFlash2 紧凑轻量 (n-max=3, 扩散计算耗时最短)",json_structured,结构化数据 (JSON Schema),234,512,110.39,42.0,13.22,466,,N/A,True
2026-08-28 23:16:33,DFlash2_n3,"DFlash2 紧凑轻量 (n-max=3, 扩散计算耗时最短)",translation_en2zh,文献翻译 (Linguistic Conversion),240,384,114.76,40.66,10.52,357,,N/A,True
2026-08-28 23:16:53,DFlash2_n3,"DFlash2 紧凑轻量 (n-max=3, 扩散计算耗时最短)",creative_long,开放长文 (Low Predictability),214,512,126.28,28.07,19.01,695,,N/A,True
2026-08-28 23:17:13,DFlash2_n3,"DFlash2 紧凑轻量 (n-max=3, 扩散计算耗时最短)",template_repetition,模板规律扩展 (Peak Speed Ceiling),218,512,124.18,27.82,19.28,702,,N/A,True
2026-08-28 23:18:14,DFlash2_n5,"DFlash2 适中步长 (n-max=5, 步长与延迟均衡点)",gsm8k_math,数学推理 (GSM8K/Chain-of-Thought),227,512,100.18,45.24,12.15,584,,N/A,True
2026-08-28 23:18:29,DFlash2_n5,"DFlash2 适中步长 (n-max=5, 步长与延迟均衡点)",python_code,代码编写 (High Regularity),205,512,105.19,37.03,14.64,726,,N/A,True
2026-08-28 23:18:43,DFlash2_n5,"DFlash2 适中步长 (n-max=5, 步长与延迟均衡点)",json_structured,结构化数据 (JSON Schema),234,512,113.38,42.67,13.0,625,,N/A,True
2026-08-28 23:18:54,DFlash2_n5,"DFlash2 适中步长 (n-max=5, 步长与延迟均衡点)",translation_en2zh,文献翻译 (Linguistic Conversion),240,384,124.64,43.97,9.72,453,,N/A,True
2026-08-28 23:19:14,DFlash2_n5,"DFlash2 适中步长 (n-max=5, 步长与延迟均衡点)",creative_long,开放长文 (Low Predictability),214,512,129.12,27.6,19.31,974,,N/A,True
2026-08-28 23:19:36,DFlash2_n5,"DFlash2 适中步长 (n-max=5, 步长与延迟均衡点)",template_repetition,模板规律扩展 (Peak Speed Ceiling),218,512,124.81,26.21,20.37,1038,,N/A,True
2026-08-28 23:20:37,DFlash2_n7,"DFlash2 官方标准 (n-max=7, 官方推荐基准值)",gsm8k_math,数学推理 (GSM8K/Chain-of-Thought),227,512,101.56,43.21,12.67,688,,N/A,True
2026-08-28 23:20:53,DFlash2_n7,"DFlash2 官方标准 (n-max=7, 官方推荐基准值)",python_code,代码编写 (High Regularity),205,512,106.29,33.92,15.9,920,,N/A,True
2026-08-28 23:21:09,DFlash2_n7,"DFlash2 官方标准 (n-max=7, 官方推荐基准值)",json_structured,结构化数据 (JSON Schema),234,512,114.53,37.66,14.58,828,,N/A,True
2026-08-28 23:21:21,DFlash2_n7,"DFlash2 官方标准 (n-max=7, 官方推荐基准值)",translation_en2zh,文献翻译 (Linguistic Conversion),240,384,117.69,38.97,10.93,594,,N/A,True
2026-08-28 23:21:46,DFlash2_n7,"DFlash2 官方标准 (n-max=7, 官方推荐基准值)",creative_long,开放长文 (Low Predictability),214,512,127.4,21.94,24.04,1440,,N/A,True
2026-08-28 23:22:09,DFlash2_n7,"DFlash2 官方标准 (n-max=7, 官方推荐基准值)",template_repetition,模板规律扩展 (Peak Speed Ceiling),218,512,133.96,24.31,21.81,1293,,N/A,True
2026-08-28 23:24:57,DFlash2_n9,"DFlash2 极限长步 (n-max=9, 探索最大单次命中收益)",gsm8k_math,数学推理 (GSM8K/Chain-of-Thought),227,512,1.29,39.9,68.56,645,,N/A,True
2026-08-28 23:25:18,DFlash2_n9,"DFlash2 极限长步 (n-max=9, 探索最大单次命中收益)",python_code,代码编写 (High Regularity),205,512,93.9,27.7,19.31,952,,N/A,True
2026-08-28 23:26:29,DFlash2_n9,"DFlash2 极限长步 (n-max=9, 探索最大单次命中收益)",json_structured,结构化数据 (JSON Schema),234,512,1.42,34.61,70.87,758,,N/A,True
2026-08-28 23:27:36,DFlash2_n9,"DFlash2 极限长步 (n-max=9, 探索最大单次命中收益)",translation_en2zh,文献翻译 (Linguistic Conversion),240,384,1.52,42.11,65.27,455,,N/A,True
2026-08-28 23:28:05,DFlash2_n9,"DFlash2 极限长步 (n-max=9, 探索最大单次命中收益)",creative_long,开放长文 (Low Predictability),214,512,87.84,19.07,27.87,1387,,N/A,True
2026-08-28 23:28:30,DFlash2_n9,"DFlash2 极限长步 (n-max=9, 探索最大单次命中收益)",template_repetition,模板规律扩展 (Peak Speed Ceiling),218,512,105.58,21.81,24.38,1195,,N/A,True
