timestamp,model,config,desc,task,decode_tok_s,prefill_tok_s,gen_tokens,elapsed_s,vram_loaded_mb,reasoning,nmax,pmin,ctx
2026-08-28 22:41:26,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_off,"基准裸速 (MTP关, 思考开)",code,22.32,130.4,1024,46.37,25921,on,0,0.0,98304
2026-08-28 22:41:58,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_off,"基准裸速 (MTP关, 思考开)",factual,22.28,139.8,718,32.67,25921,on,0,0.0,98304
2026-08-28 22:42:45,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_off,"基准裸速 (MTP关, 思考开)",json,22.39,169.5,1024,46.19,25921,on,0,0.0,98304
2026-08-28 22:43:32,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_off,"基准裸速 (MTP关, 思考开)",reasoning,22.23,164.9,1024,46.87,25921,on,0,0.0,98304
2026-08-28 22:45:01,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n1,MTP n-max=1 (思考开),code,32.41,119.2,1024,32.11,27449,on,1,0.0,98304
2026-08-28 22:45:10,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n1,MTP n-max=1 (思考开),factual,28.87,115.7,230,8.63,27449,on,1,0.0,98304
2026-08-28 22:45:41,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n1,MTP n-max=1 (思考开),json,33.54,139.1,1024,31.07,27449,on,1,0.0,98304
2026-08-28 22:45:56,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n1,MTP n-max=1 (思考开),reasoning,31.39,151.0,444,15.04,27449,on,1,0.0,98304
2026-08-28 22:47:00,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n2,"MTP n-max=2 (思考开, 现役默认)",code,38.46,118.6,1024,27.13,27599,on,2,0.0,98304
2026-08-28 22:47:06,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n2,"MTP n-max=2 (思考开, 现役默认)",factual,30.25,128.0,169,6.1,27599,on,2,0.0,98304
2026-08-28 22:47:27,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n2,"MTP n-max=2 (思考开, 现役默认)",json,40.76,157.6,854,21.47,27599,on,2,0.0,98304
2026-08-28 22:47:47,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n2,"MTP n-max=2 (思考开, 现役默认)",reasoning,39.04,151.2,738,19.81,27599,on,2,0.0,98304
2026-08-28 22:48:49,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n3,MTP n-max=3 (思考开),code,38.45,123.8,1024,27.11,27749,on,3,0.0,98304
2026-08-28 22:49:21,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n3,MTP n-max=3 (思考开),factual,30.99,128.3,985,32.27,27749,on,3,0.0,98304
2026-08-28 22:49:48,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n3,MTP n-max=3 (思考开),json,38.87,151.4,1024,26.88,27749,on,3,0.0,98304
2026-08-28 22:50:01,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n3,MTP n-max=3 (思考开),reasoning,35.53,151.6,421,12.73,27749,on,3,0.0,98304
2026-08-28 22:51:02,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n4,MTP n-max=4 (思考开),code,39.51,120.9,1024,26.41,27899,on,4,0.0,98304
2026-08-28 22:51:30,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n4,MTP n-max=4 (思考开),factual,28.44,130.7,793,28.36,27899,on,4,0.0,98304
2026-08-28 22:51:56,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n4,MTP n-max=4 (思考开),json,39.77,150.9,1024,26.3,27899,on,4,0.0,98304
2026-08-28 22:52:24,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n4,MTP n-max=4 (思考开),reasoning,38.11,146.6,1024,27.77,27899,on,4,0.0,98304
2026-08-28 22:53:27,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n5,MTP n-max=5 (思考开),code,37.11,112.9,1024,28.11,28047,on,5,0.0,98304
2026-08-28 22:53:58,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n5,MTP n-max=5 (思考开),factual,27.4,116.5,844,31.3,28047,on,5,0.0,98304
2026-08-28 22:54:25,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n5,MTP n-max=5 (思考开),json,38.67,136.8,1024,27.04,28047,on,5,0.0,98304
2026-08-28 22:54:54,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n5,MTP n-max=5 (思考开),reasoning,36.58,147.1,1024,28.9,28047,on,5,0.0,98304
2026-08-28 22:55:59,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n6,MTP n-max=6 (思考开),code,35.57,114.0,1024,29.32,28197,on,6,0.0,98304
2026-08-28 22:56:38,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n6,MTP n-max=6 (思考开),factual,24.36,119.9,951,39.53,28197,on,6,0.0,98304
2026-08-28 22:57:07,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n6,MTP n-max=6 (思考开),json,36.67,141.8,1024,28.48,28197,on,6,0.0,98304
2026-08-28 22:57:21,Qwen3.8-27B-UD-Q6_K_M,r_on_mtp_n6,MTP n-max=6 (思考开),reasoning,29.41,149.0,381,13.86,28197,on,6,0.0,98304
