timestamp,config,desc,task,decode_tok_s,prefill_tok_s,gen_tokens,elapsed_s,vram_loaded_mb,reasoning,nmax,pmin,ctx
2026-08-25 14:25:42,r_on_mtp_off,"基准裸速 (关MTP, 思考开)",code,31.6,144.3,1024,32.73,22556,on,0,0.0,163840
2026-08-25 14:25:55,r_on_mtp_off,"基准裸速 (关MTP, 思考开)",factual,31.62,154.2,410,13.29,22556,on,0,0.0,163840
2026-08-25 14:26:28,r_on_mtp_off,"基准裸速 (关MTP, 思考开)",json,31.48,180.0,1024,32.87,22556,on,0,0.0,163840
2026-08-25 14:27:01,r_on_mtp_off,"基准裸速 (关MTP, 思考开)",reasoning,31.57,107.5,1024,33.45,22556,on,0,0.0,163840
2026-08-25 14:27:57,r_on_mtp_n1,MTP n-max=1 (开思考),code,37.24,119.1,1024,27.89,25142,on,1,0.0,163840
2026-08-25 14:28:15,r_on_mtp_n1,MTP n-max=1 (开思考),factual,34.99,132.0,616,17.97,25142,on,1,0.0,163840
2026-08-25 14:28:43,r_on_mtp_n1,MTP n-max=1 (开思考),json,37.85,166.7,1024,27.42,25142,on,1,0.0,163840
2026-08-25 14:28:50,r_on_mtp_n1,MTP n-max=1 (开思考),reasoning,37.63,102.8,219,6.91,25142,on,1,0.0,163840
2026-08-25 14:29:41,r_on_mtp_n2,MTP n-max=2 (开思考),code,43.73,131.6,1024,23.76,25740,on,2,0.0,163840
2026-08-25 14:29:48,r_on_mtp_n2,MTP n-max=2 (开思考),factual,33.92,132.0,226,7.05,25740,on,2,0.0,163840
2026-08-25 14:30:13,r_on_mtp_n2,MTP n-max=2 (开思考),json,42.57,166.4,1024,24.44,25740,on,2,0.0,163840
2026-08-25 14:30:38,r_on_mtp_n2,MTP n-max=2 (开思考),reasoning,42.0,102.5,1024,25.47,25740,on,2,0.0,163840
2026-08-25 14:31:31,r_on_mtp_n3,MTP n-max=3 (开思考),code,39.75,130.7,1024,26.1,26338,on,3,0.0,163840
2026-08-25 14:31:39,r_on_mtp_n3,MTP n-max=3 (开思考),factual,29.04,133.1,209,7.56,26338,on,3,0.0,163840
2026-08-25 14:32:05,r_on_mtp_n3,MTP n-max=3 (开思考),json,40.12,161.9,1024,25.91,26338,on,3,0.0,163840
2026-08-25 14:32:31,r_on_mtp_n3,MTP n-max=3 (开思考),reasoning,40.96,101.4,1024,26.09,26338,on,3,0.0,163840
2026-08-25 14:33:26,r_on_mtp_n4,MTP n-max=4 (开思考),code,38.62,129.7,1024,26.87,26938,on,4,0.0,163840
2026-08-25 14:33:37,r_on_mtp_n4,MTP n-max=4 (开思考),factual,26.42,134.2,292,11.39,26938,on,4,0.0,163840
2026-08-25 14:34:03,r_on_mtp_n4,MTP n-max=4 (开思考),json,39.61,163.4,1024,26.24,26938,on,4,0.0,163840
2026-08-25 14:34:26,r_on_mtp_n4,MTP n-max=4 (开思考),reasoning,46.99,102.6,1024,22.89,26938,on,4,0.0,163840
2026-08-25 14:35:24,r_on_mtp_n5,MTP n-max=5 (开思考),code,36.13,129.7,1024,28.69,27536,on,5,0.0,163840
2026-08-25 14:35:35,r_on_mtp_n5,MTP n-max=5 (开思考),factual,23.89,130.3,258,11.14,27536,on,5,0.0,163840
2026-08-25 14:36:03,r_on_mtp_n5,MTP n-max=5 (开思考),json,37.51,165.5,1024,27.69,27536,on,5,0.0,163840
2026-08-25 14:36:26,r_on_mtp_n5,MTP n-max=5 (开思考),reasoning,45.57,102.2,1024,23.56,27536,on,5,0.0,163840
2026-08-25 14:37:27,r_on_mtp_n6,MTP n-max=6 (开思考),code,33.71,130.6,1024,30.72,28136,on,6,0.0,163840
2026-08-25 14:37:42,r_on_mtp_n6,MTP n-max=6 (开思考),factual,19.52,128.2,277,14.53,28136,on,6,0.0,163840
2026-08-25 14:38:11,r_on_mtp_n6,MTP n-max=6 (开思考),json,35.41,165.1,1024,29.3,28136,on,6,0.0,163840
2026-08-25 14:38:40,r_on_mtp_n6,MTP n-max=6 (开思考),reasoning,36.04,101.4,1024,29.5,28136,on,6,0.0,163840
2026-08-25 14:39:48,r_on_mtp_n8,MTP n-max=8 (开思考),code,29.68,128.0,1024,34.86,29334,on,8,0.0,163840
2026-08-25 14:40:11,r_on_mtp_n8,MTP n-max=8 (开思考),factual,17.46,132.5,397,23.07,29334,on,8,0.0,163840
2026-08-25 14:40:43,r_on_mtp_n8,MTP n-max=8 (开思考),json,32.36,163.1,1024,32.04,29334,on,8,0.0,163840
2026-08-25 14:41:15,r_on_mtp_n8,MTP n-max=8 (开思考),reasoning,32.7,97.6,1024,32.47,29334,on,8,0.0,163840
2026-08-25 14:42:11,r_on_mtp_n2_p0.75,"MTP n-max=2, p-min=0.75",code,38.1,133.4,1024,27.21,25745,on,2,0.75,163840
2026-08-25 14:42:33,r_on_mtp_n2_p0.75,"MTP n-max=2, p-min=0.75",factual,32.44,131.0,708,22.18,25745,on,2,0.75,163840
2026-08-25 14:42:59,r_on_mtp_n2_p0.75,"MTP n-max=2, p-min=0.75",json,40.75,167.2,1024,25.54,25745,on,2,0.75,163840
2026-08-25 14:43:24,r_on_mtp_n2_p0.75,"MTP n-max=2, p-min=0.75",reasoning,41.7,101.9,1024,25.64,25745,on,2,0.75,163840
2026-08-25 14:44:19,r_on_mtp_n3_p0.75,"MTP n-max=3, p-min=0.75 (当前启动器默认)",code,37.35,131.0,1024,27.76,26343,on,3,0.75,163840
2026-08-25 14:44:50,r_on_mtp_n3_p0.75,"MTP n-max=3, p-min=0.75 (当前启动器默认)",factual,34.16,133.9,1024,30.33,26343,on,3,0.75,163840
2026-08-25 14:45:16,r_on_mtp_n3_p0.75,"MTP n-max=3, p-min=0.75 (当前启动器默认)",json,39.6,165.4,1024,26.24,26343,on,3,0.75,163840
2026-08-25 14:45:43,r_on_mtp_n3_p0.75,"MTP n-max=3, p-min=0.75 (当前启动器默认)",reasoning,38.97,101.2,1024,27.38,26343,on,3,0.75,163840
2026-08-25 14:46:36,r_on_mtp_n4_p0.75,"MTP n-max=4, p-min=0.75",code,40.36,128.9,1024,25.71,26943,on,4,0.75,163840
2026-08-25 14:46:43,r_on_mtp_n4_p0.75,"MTP n-max=4, p-min=0.75",factual,31.01,134.9,216,7.3,26943,on,4,0.75,163840
2026-08-25 14:47:09,r_on_mtp_n4_p0.75,"MTP n-max=4, p-min=0.75",json,39.99,165.6,1024,25.97,26943,on,4,0.75,163840
2026-08-25 14:47:32,r_on_mtp_n4_p0.75,"MTP n-max=4, p-min=0.75",reasoning,47.3,102.3,1024,22.75,26943,on,4,0.75,163840
2026-08-25 14:48:29,r_on_mtp_n5_p0.75,"MTP n-max=5, p-min=0.75",code,37.25,131.0,1024,27.83,27541,on,5,0.75,163840
2026-08-25 14:48:36,r_on_mtp_n5_p0.75,"MTP n-max=5, p-min=0.75",factual,30.61,102.5,221,7.65,27541,on,5,0.75,163840
2026-08-25 14:49:03,r_on_mtp_n5_p0.75,"MTP n-max=5, p-min=0.75",json,39.79,158.3,1024,26.12,27541,on,5,0.75,163840
2026-08-25 14:49:29,r_on_mtp_n5_p0.75,"MTP n-max=5, p-min=0.75",reasoning,41.08,101.9,1024,26.01,27541,on,5,0.75,163840
2026-08-25 14:50:22,r_on_mtp_n3_p0.85,"MTP n-max=3, p-min=0.85 (高置信度)",code,41.61,130.5,1024,24.94,26343,on,3,0.85,163840
2026-08-25 14:50:48,r_on_mtp_n3_p0.85,"MTP n-max=3, p-min=0.85 (高置信度)",factual,32.08,133.8,809,25.57,26343,on,3,0.85,163840
2026-08-25 14:51:15,r_on_mtp_n3_p0.85,"MTP n-max=3, p-min=0.85 (高置信度)",json,38.96,167.6,1024,26.66,26343,on,3,0.85,163840
2026-08-25 14:51:34,r_on_mtp_n3_p0.85,"MTP n-max=3, p-min=0.85 (高置信度)",reasoning,41.19,101.7,753,19.35,26343,on,3,0.85,163840
2026-08-25 14:52:30,r_on_mtp_n4_p0.85,"MTP n-max=4, p-min=0.85 (高置信度)",code,37.97,130.1,1024,27.32,26943,on,4,0.85,163840
2026-08-25 14:52:54,r_on_mtp_n4_p0.85,"MTP n-max=4, p-min=0.85 (高置信度)",factual,32.41,133.1,736,23.06,26943,on,4,0.85,163840
2026-08-25 14:53:18,r_on_mtp_n4_p0.85,"MTP n-max=4, p-min=0.85 (高置信度)",json,43.07,162.0,1024,24.17,26943,on,4,0.85,163840
2026-08-25 14:53:30,r_on_mtp_n4_p0.85,"MTP n-max=4, p-min=0.85 (高置信度)",reasoning,38.96,102.7,444,12.47,26943,on,4,0.85,163840
2026-08-25 14:54:29,r_off_mtp_off,"基准裸速 (关MTP, 思考关)",code,31.65,150.1,1024,32.66,22561,off,0,0.0,163840
2026-08-25 14:54:54,r_off_mtp_off,"基准裸速 (关MTP, 思考关)",factual,31.62,154.5,789,25.25,22561,off,0,0.0,163840
2026-08-25 14:55:27,r_off_mtp_off,"基准裸速 (关MTP, 思考关)",json,31.59,188.1,1024,32.75,22561,off,0,0.0,163840
2026-08-25 14:56:00,r_off_mtp_off,"基准裸速 (关MTP, 思考关)",reasoning,31.6,107.3,1024,33.41,22561,off,0,0.0,163840
2026-08-25 14:56:51,r_off_mtp_n2,MTP n-max=2 (思考关),code,43.88,132.2,1024,23.69,25745,off,2,0.0,163840
2026-08-25 14:56:58,r_off_mtp_n2,MTP n-max=2 (思考关),factual,34.38,134.5,233,7.13,25745,off,2,0.0,163840
2026-08-25 14:57:22,r_off_mtp_n2,MTP n-max=2 (思考关),json,42.42,166.4,1024,24.51,25745,off,2,0.0,163840
2026-08-25 14:57:49,r_off_mtp_n2,MTP n-max=2 (思考关),reasoning,40.46,102.2,1024,26.38,25745,off,2,0.0,163840
2026-08-25 14:58:41,r_off_mtp_n3,MTP n-max=3 (思考关),code,41.96,132.9,1024,24.75,26343,off,3,0.0,163840
2026-08-25 14:58:51,r_off_mtp_n3,MTP n-max=3 (思考关),factual,28.46,136.3,277,10.08,26343,off,3,0.0,163840
2026-08-25 14:59:17,r_off_mtp_n3,MTP n-max=3 (思考关),json,39.51,166.1,1024,26.28,26343,off,3,0.0,163840
2026-08-25 14:59:48,r_off_mtp_n3,MTP n-max=3 (思考关),reasoning,34.79,101.5,1024,30.51,26343,off,3,0.0,163840
2026-08-25 15:00:43,r_off_mtp_n4,MTP n-max=4 (思考关),code,38.43,130.1,1024,26.99,26943,off,4,0.0,163840
2026-08-25 15:01:13,r_off_mtp_n4,MTP n-max=4 (思考关),factual,28.51,135.2,850,30.18,26943,off,4,0.0,163840
2026-08-25 15:01:40,r_off_mtp_n4,MTP n-max=4 (思考关),json,38.85,166.3,1024,26.74,26943,off,4,0.0,163840
2026-08-25 15:02:05,r_off_mtp_n4,MTP n-max=4 (思考关),reasoning,41.43,101.4,1024,25.83,26943,off,4,0.0,163840
2026-08-25 15:03:04,r_off_mtp_n5,MTP n-max=5 (思考关),code,35.29,127.7,1024,29.37,27541,off,5,0.0,163840
2026-08-25 15:03:15,r_off_mtp_n5,MTP n-max=5 (思考关),factual,21.5,129.8,234,11.25,27541,off,5,0.0,163840
