model,config,desc,ctx,nmax,pmin,vram_mib,task,gen_tok_per_sec,prompt_tok_per_sec,generated_tokens,wall_time_sec
Qwen3-Coder-30B-A3B,ctx_008k_q8,"极限理论裸速 (ctx=8K, 全显存极速)",8192,,0.0,21653,code_lru,83.89,151.93,256,3.57
Qwen3-Coder-30B-A3B,ctx_008k_q8,"极限理论裸速 (ctx=8K, 全显存极速)",8192,,0.0,21653,reasoning_train,86.69,430.58,256,3.33
Qwen3-Coder-30B-A3B,ctx_008k_q8,"极限理论裸速 (ctx=8K, 全显存极速)",8192,,0.0,21653,tech_arch,85.32,291.16,256,3.3
Qwen3-Coder-30B-A3B,ctx_016k_q8,高频对话裸速 (ctx=16K),16384,,0.0,22093,code_lru,84.17,155.42,256,3.55
Qwen3-Coder-30B-A3B,ctx_016k_q8,高频对话裸速 (ctx=16K),16384,,0.0,22093,reasoning_train,84.58,440.55,256,3.4
Qwen3-Coder-30B-A3B,ctx_016k_q8,高频对话裸速 (ctx=16K),16384,,0.0,22093,tech_arch,86.13,280.21,256,3.28
Qwen3-Coder-30B-A3B,ctx_032k_q8,标准编程基准 (ctx=32K),32768,,0.0,22973,code_lru,84.16,158.49,256,3.54
Qwen3-Coder-30B-A3B,ctx_032k_q8,标准编程基准 (ctx=32K),32768,,0.0,22973,reasoning_train,85.92,444.23,256,3.35
Qwen3-Coder-30B-A3B,ctx_032k_q8,标准编程基准 (ctx=32K),32768,,0.0,22973,tech_arch,86.21,278.37,256,3.28
Qwen3-Coder-30B-A3B,ctx_064k_q8,中长代码基准 (ctx=64K),65536,,0.0,24765,code_lru,85.22,164.09,256,3.48
Qwen3-Coder-30B-A3B,ctx_064k_q8,中长代码基准 (ctx=64K),65536,,0.0,24765,reasoning_train,85.5,445.48,256,3.36
Qwen3-Coder-30B-A3B,ctx_064k_q8,中长代码基准 (ctx=64K),65536,,0.0,24765,tech_arch,86.64,294.01,256,3.25
Qwen3-Coder-30B-A3B,ctx_096k_q8,大长文本基准 (ctx=96K),98304,,0.0,26589,code_lru,84.45,138.85,256,3.6
Qwen3-Coder-30B-A3B,ctx_096k_q8,大长文本基准 (ctx=96K),98304,,0.0,26589,reasoning_train,85.91,449.18,256,3.35
Qwen3-Coder-30B-A3B,ctx_096k_q8,大长文本基准 (ctx=96K),98304,,0.0,26589,tech_arch,86.29,288.12,256,3.27
Qwen3-Coder-30B-A3B,ctx_128k_q8,超长上下文 (ctx=128K),131072,,0.0,28413,code_lru,85.03,155.67,256,3.52
Qwen3-Coder-30B-A3B,ctx_128k_q8,超长上下文 (ctx=128K),131072,,0.0,28413,reasoning_train,84.7,443.63,256,3.39
Qwen3-Coder-30B-A3B,ctx_128k_q8,超长上下文 (ctx=128K),131072,,0.0,28413,tech_arch,86.81,298.79,256,3.24
Qwen3-Coder-30B-A3B,ctx_192k_q8,"生产默认最大池 (ctx=192K, Q8_0 KV)",196608,,0.0,32061,code_lru,86.39,157.75,256,3.46
Qwen3-Coder-30B-A3B,ctx_192k_q8,"生产默认最大池 (ctx=192K, Q8_0 KV)",196608,,0.0,32061,reasoning_train,86.98,446.65,256,3.31
Qwen3-Coder-30B-A3B,ctx_192k_q8,"生产默认最大池 (ctx=192K, Q8_0 KV)",196608,,0.0,32061,tech_arch,86.57,286.22,256,3.27
Qwen3-Coder-30B-A3B,ctx_064k_f16,"全精度 KV Cache (ctx=64K, F16 KV)",65536,,0.0,27613,code_lru,97.29,159.22,256,3.13
Qwen3-Coder-30B-A3B,ctx_064k_f16,"全精度 KV Cache (ctx=64K, F16 KV)",65536,,0.0,27613,reasoning_train,98.34,444.96,256,2.98
Qwen3-Coder-30B-A3B,ctx_064k_f16,"全精度 KV Cache (ctx=64K, F16 KV)",65536,,0.0,27613,tech_arch,98.58,295.31,256,2.9
Qwen3-Coder-30B-A3B,ctx_064k_q4,"省显存 KV Cache (ctx=64K, Q4_0 KV)",65536,,0.0,23229,code_lru,85.04,168.12,256,3.48
Qwen3-Coder-30B-A3B,ctx_064k_q4,"省显存 KV Cache (ctx=64K, Q4_0 KV)",65536,,0.0,23229,reasoning_train,86.76,452.04,256,3.31
Qwen3-Coder-30B-A3B,ctx_064k_q4,"省显存 KV Cache (ctx=64K, Q4_0 KV)",65536,,0.0,23229,tech_arch,87.41,294.39,256,3.22
