config,task,tok_s,reasoning,nmax,batch,flash,ctx
ron_mtpoff,code,80.2676172526464,on,,2048,enabled,81920
ron_mtpoff,factual,81.27039735851059,on,,2048,enabled,81920
ron_mtpoff,json,80.69909563001688,on,,2048,enabled,81920
ron_mtpoff,reasoning,80.51802204794906,on,,2048,enabled,81920
ron_mtpn2,code,106.41175509043597,on,2,2048,enabled,81920
ron_mtpn2,factual,88.32444224550892,on,2,2048,enabled,81920
ron_mtpn2,json,111.5123800693133,on,2,2048,enabled,81920
ron_mtpn2,reasoning,108.19659792262533,on,2,2048,enabled,81920
ron_mtpn3,code,107.13823112687867,on,3,2048,enabled,81920
ron_mtpn3,factual,79.80998627400152,on,3,2048,enabled,81920
ron_mtpn3,json,118.53151585009032,on,3,2048,enabled,81920
ron_mtpn3,reasoning,112.91242216226166,on,3,2048,enabled,81920
ron_mtpn4,code,105.2916022132624,on,4,2048,enabled,81920
ron_mtpn4,factual,71.64723506806487,on,4,2048,enabled,81920
ron_mtpn4,json,119.58456135064641,on,4,2048,enabled,81920
ron_mtpn4,reasoning,116.1776703238429,on,4,2048,enabled,81920
ron_mtpn5,code,98.75400223739535,on,5,2048,enabled,81920
ron_mtpn5,factual,62.22020192255282,on,5,2048,enabled,81920
ron_mtpn5,json,120.91386125086818,on,5,2048,enabled,81920
ron_mtpn5,reasoning,111.03837898294218,on,5,2048,enabled,81920
ron_mtpn6,code,94.90105175202726,on,6,2048,enabled,81920
ron_mtpn6,factual,56.90885224251449,on,6,2048,enabled,81920
ron_mtpn6,json,117.34410558382388,on,6,2048,enabled,81920
ron_mtpn6,reasoning,110.8862088407607,on,6,2048,enabled,81920
ron_mtpn8,code,70.25723685560169,on,8,2048,enabled,81920
ron_mtpn8,factual,43.04518001596771,on,8,2048,enabled,81920
ron_mtpn8,json,110.68845166466281,on,8,2048,enabled,81920
ron_mtpn8,reasoning,82.02703253646914,on,8,2048,enabled,81920
roff_mtpoff,code,80.30592794205552,off,,2048,enabled,81920
roff_mtpoff,factual,81.19034438796906,off,,2048,enabled,81920
roff_mtpoff,json,80.71419991572675,off,,2048,enabled,81920
roff_mtpoff,reasoning,80.60597454740153,off,,2048,enabled,81920
roff_mtpn2,code,106.12972763111297,off,2,2048,enabled,81920
roff_mtpn2,factual,87.7147317248496,off,2,2048,enabled,81920
roff_mtpn2,json,110.73540516079305,off,2,2048,enabled,81920
roff_mtpn2,reasoning,108.3993655423696,off,2,2048,enabled,81920
roff_mtpn3,code,106.50069199448652,off,3,2048,enabled,81920
roff_mtpn3,factual,79.87694988876639,off,3,2048,enabled,81920
roff_mtpn3,json,117.19883705531923,off,3,2048,enabled,81920
roff_mtpn3,reasoning,111.83615625134098,off,3,2048,enabled,81920
roff_mtpn4,code,105.51622110965351,off,4,2048,enabled,81920
roff_mtpn4,factual,72.18295575483089,off,4,2048,enabled,81920
roff_mtpn4,json,119.83658818628268,off,4,2048,enabled,81920
roff_mtpn4,reasoning,115.0433836485777,off,4,2048,enabled,81920
roff_mtpn5,code,98.92616803884862,off,5,2048,enabled,81920
roff_mtpn5,factual,61.808390923259005,off,5,2048,enabled,81920
roff_mtpn5,json,119.43386467296752,off,5,2048,enabled,81920
roff_mtpn5,reasoning,111.03954731683903,off,5,2048,enabled,81920
roff_mtpn6,code,94.81827392591916,off,6,2048,enabled,81920
roff_mtpn6,factual,56.66982800004683,off,6,2048,enabled,81920
roff_mtpn6,json,117.45143336989433,off,6,2048,enabled,81920
roff_mtpn6,reasoning,110.77733978045539,off,6,2048,enabled,81920
roff_mtpn8,code,70.05865976005046,off,8,2048,enabled,81920
roff_mtpn8,factual,42.82390335120835,off,8,2048,enabled,81920
roff_mtpn8,json,111.31040835581817,off,8,2048,enabled,81920
roff_mtpn8,reasoning,81.80302285657451,off,8,2048,enabled,81920
ron_mtp4_c32768,code,105.87985800104825,on,4,2048,enabled,32768
ron_mtp4_c32768,factual,72.02329507170188,on,4,2048,enabled,32768
ron_mtp4_c32768,json,120.63505331689404,on,4,2048,enabled,32768
ron_mtp4_c32768,reasoning,115.89093728197433,on,4,2048,enabled,32768
ron_mtp4_b4096,code,104.57815378707726,on,4,4096,enabled,81920
ron_mtp4_b4096,factual,71.59998969965059,on,4,4096,enabled,81920
ron_mtp4_b4096,json,118.5413625349557,on,4,4096,enabled,81920
ron_mtp4_b4096,reasoning,113.80320443208416,on,4,4096,enabled,81920
ron_mtp3_flashoff,(failed),,on,3,2048,disabled,81920
