config,task,tok_s,flash,kv,batch,ctx
def_flash_q8_b2048,code,83.24284873611911,enabled,q8_0,2048,98304
def_flash_q8_b2048,factual,84.43328965056007,enabled,q8_0,2048,98304
def_flash_q8_b2048,json,84.35632621514492,enabled,q8_0,2048,98304
flash_f16_b2048,code,91.75216164150352,enabled,f16,2048,98304
flash_f16_b2048,factual,92.5791284959527,enabled,f16,2048,98304
flash_f16_b2048,json,92.52191612888302,enabled,f16,2048,98304
flash_q8_b4096,code,83.14441120562563,enabled,q8_0,4096,98304
flash_q8_b4096,factual,84.4098865570385,enabled,q8_0,4096,98304
flash_q8_b4096,json,84.18468404217367,enabled,q8_0,4096,98304
flash_f16_b4096,code,91.63644707239001,enabled,f16,4096,98304
flash_f16_b4096,factual,92.72758432020242,enabled,f16,4096,98304
flash_f16_b4096,json,92.41568294139516,enabled,f16,4096,98304
flash_q8_b1024,code,83.3348795859819,enabled,q8_0,1024,98304
flash_q8_b1024,factual,84.82078748408131,enabled,q8_0,1024,98304
flash_q8_b1024,json,84.37531541244088,enabled,q8_0,1024,98304
flash_q8_b2048_c32768,code,82.91337519865,enabled,q8_0,2048,32768
flash_q8_b2048_c32768,factual,84.40262959336776,enabled,q8_0,2048,32768
flash_q8_b2048_c32768,json,84.22489891422981,enabled,q8_0,2048,32768
flash_f16_b2048_c32768,code,91.74620991389475,enabled,f16,2048,32768
flash_f16_b2048_c32768,factual,92.83918260689508,enabled,f16,2048,32768
flash_f16_b2048_c32768,json,92.57635796191745,enabled,f16,2048,32768
