=== llama.cpp Speed Benchmark (V100-PCIe 32GB) ===
model : E:\models\Qwen3.6-35B-A3B-APEX-MTP-I-Compact.gguf
ctx   : 16384   n_predict: 512

Ranked by eval tok/s (highest first):
 1. ron_mtp3       108.66 tok/s
 2. roff_mtp4      107.57 tok/s
 3. ron_mtp4       106.78 tok/s
 4. ron_mtp2       102.54 tok/s
 5. ron_mtp6       97.91 tok/s
 6. roff_mtp6      96.88 tok/s
 7. roff_mtp3      94.49 tok/s
 8. ron_mtpoff     83.10 tok/s
 9. ron_mtp8       66.19 tok/s
10. roff_mtp8      65.84 tok/s

All configs:
  roff_mtpoff    reasoning=off mtp=off -> FAIL (completion_err:[WinError 10054] 远程主机强迫关闭了一个现有的连接。)
  roff_mtp2      reasoning=off mtp=2 -> FAIL (completion_err:[WinError 10054] 远程主机强迫关闭了一个现有的连接。)
  roff_mtp3      reasoning=off mtp=3 -> 94.48537580450974 (ok)
  roff_mtp4      reasoning=off mtp=4 -> 107.57034722531533 (ok)
  roff_mtp6      reasoning=off mtp=6 -> 96.87991790940706 (ok)
  roff_mtp8      reasoning=off mtp=8 -> 65.84379921807916 (ok)
  ron_mtpoff     reasoning=on mtp=off -> 83.0972284639818 (ok)
  ron_mtp2       reasoning=on mtp=2 -> 102.53756439639419 (ok)
  ron_mtp3       reasoning=on mtp=3 -> 108.65692192342277 (ok)
  ron_mtp4       reasoning=on mtp=4 -> 106.78417375119872 (ok)
  ron_mtp6       reasoning=on mtp=6 -> 97.9123818047432 (ok)
  ron_mtp8       reasoning=on mtp=8 -> 66.19281916509652 (ok)
