llama.cpp 输出速度测速汇总 (27B)
模型: Qwen3.6-27B-MTP-IQ4_XS-Q8nextn.gguf (密集混合, 65层, 内置Q8 nextn MTP)
GPU: Tesla V100-PCIE-32GB | 驱动模式: unknown
生成长度: n_predict=1024 | 任务数: 5 | 配置数: 18
测量: /completion timings.predicted_per_second (解码 tok/s)
================================================================

排名  配置                        平均        最高        最低
----------------------------------------------------
1   ron_mtp4_c32768       60.84     69.29     43.23
2   ron_mtp4_c98304       60.69     69.10     43.02
3   roff_mtpn4            60.65     69.15     42.82
4   ron_mtpn4             60.58     68.84     43.20
5   ron_mtpn5             58.97     66.51     39.79
6   roff_mtpn5            58.84     66.59     39.43
7   roff_mtpn3            57.94     63.85     44.61
8   ron_mtpn3             57.63     63.24     44.29
9   roff_mtpn2            56.31     59.46     48.87
10  ron_mtpn2             56.13     59.14     49.04
11  rnative               56.06     59.19     48.81
12  roff_mtpn6            55.32     62.90     34.29
13  ron_mtpn6             55.30     62.92     34.09
14  roff_mtpn8            43.86     50.89     25.24
15  ron_mtpn8             43.85     50.93     25.21
16  ron_mtp10             42.64     50.35     23.61
17  ron_mtpoff            34.14     34.35     34.04
18  roff_mtpoff           34.01     34.21     33.92

（ron_=思考开 roff_=思考关 | mtpN=MTP n-max=N | mtpoff=关MTP | cN=ctx | rnative=启动器默认 思考关 n-max=2）
